created_at,hour,activation,wh_id,wh,product_id,stock_minunit,basic_unit_count,stock,rr,rr_minunit,avg_price,wh_cont,total_dc_stock,rr_max,base,gap,n_rop,rop,doh
6/14/2022,21,FALSE,3,Abu Rawash,2,0,1,0,0,0,96,0.05291631,0,0,2.5,1.5,0,0,1.5
6/14/2022,21,TRUE,3,Abu Rawash,3,105,1,105,19,19,142,0.05291631,954,42,2.5,1.5,105,5.526315789,7.026315789
6/14/2022,21,FALSE,3,Abu Rawash,4,0,1,0,0,0,151,0.05291631,0,0,2.5,1.5,0,0,1.5
6/14/2022,21,FALSE,3,Abu Rawash,5,0,1,0,0,0,374,0.05291631,0,0,2.5,1.5,0,0,1.5
6/14/2022,21,FALSE,3,Abu Rawash,6,0,1,0,0,0,492,0.05291631,0,0,2.5,1.5,0,0,1.5
6/14/2022,21,FALSE,3,Abu Rawash,7,0,1,0,0,0,366,0.05291631,0,0,2.5,1.5,0,0,1.5
6/14/2022,21,FALSE,3,Abu Rawash,8,0,1,0,0,0,380,0.05291631,0,0,2.5,1.5,0,0,1.5
6/14/2022,21,TRUE,3,Abu Rawash,9,0,1,0,4,4,424,0.05291631,2,8,2.5,1.5,20,5,6.5
6/14/2022,21,TRUE,3,Abu Rawash,10,200,1,200,31,31,125,0.05291631,0,35.33333333,2.5,1.5,88.33333333,2.849462366,4.349462366
6/14/2022,21,TRUE,3,Abu Rawash,11,0,1,0,1,1,70,0.05291631,48,1,2.5,1.5,2.5,2.5,4
6/14/2022,21,TRUE,3,Abu Rawash,12,0,1,0,3,3,70,0.05291631,40,8,2.5,1.5,20,6.666666667,8.166666667
6/14/2022,21,FALSE,3,Abu Rawash,13,0,1,0,0,0,180,0.05291631,0,0,2.5,1.5,0,0,1.5
6/14/2022,21,FALSE,3,Abu Rawash,14,0,1,0,0,0,180,0.05291631,0,0,2.5,1.5,0,0,1.5
6/14/2022,21,FALSE,3,Abu Rawash,15,0,1,0,0,0,420,0.05291631,0,0,2.5,1.5,0,0,1.5
6/14/2022,21,TRUE,3,Abu Rawash,16,9,1,9,3,3,208,0.05291631,115,4,2.5,1.5,10,3.333333333,4.833333333
6/14/2022,21,TRUE,3,Abu Rawash,17,11,1,11,1,1,275,0.05291631,31,2,2.5,1.5,5,5,6.5
6/14/2022,21,TRUE,3,Abu Rawash,18,12,1,12,2,2,280,0.05291631,82,3,2.5,1.5,7.5,3.75,5.25
6/14/2022,21,TRUE,3,Abu Rawash,19,135,20,7,3,50,86,0.05291631,100,3.333333333,2.5,1.5,8.333333333,2.777777778,4.277777778
6/14/2022,21,TRUE,3,Abu Rawash,20,169,20,8,4,63,86,0.05291631,356,5,2.5,1.5,12.5,3.125,4.625
6/14/2022,21,FALSE,3,Abu Rawash,21,0,1,0,0,0,14,0.05291631,0,0,2.5,1.5,0,0,1.5
6/14/2022,21,FALSE,3,Abu Rawash,22,0,1,0,0,0,14,0.05291631,0,0,2.5,1.5,0,0,1.5
6/14/2022,21,TRUE,3,Abu Rawash,23,0,1,0,6,6,130,0.05291631,3,7,2.5,1.5,17.5,2.916666667,4.416666667
6/14/2022,21,TRUE,3,Abu Rawash,24,7,1,7,6,6,130,0.05291631,3,6,2.5,1.5,15,2.5,4
6/14/2022,21,TRUE,3,Abu Rawash,25,0,1,0,6,6,130,0.05291631,3,9,2.5,1.5,22.5,3.75,5.25
6/14/2022,21,TRUE,3,Abu Rawash,26,0,1,0,1,0,130,0.05291631,3,1,2.5,1.5,2.5,2.5,4
6/14/2022,21,TRUE,3,Abu Rawash,27,0,1,0,2,2,130,0.05291631,3,4,2.5,1.5,10,5,6.5
6/14/2022,21,FALSE,3,Abu Rawash,28,0,1,0,0,0,151,0.05291631,0,0,2.5,1.5,0,0,1.5
6/14/2022,21,TRUE,3,Abu Rawash,29,1,1,1,1,1,151,0.05291631,16,2,2.5,1.5,5,5,6.5
6/14/2022,21,TRUE,3,Abu Rawash,30,19,1,19,1,1,151,0.05291631,191,2,2.5,1.5,5,5,6.5
6/14/2022,21,TRUE,3,Abu Rawash,31,33,1,33,1,1,151,0.05291631,206,1,2.5,1.5,2.5,2.5,4
6/14/2022,21,TRUE,3,Abu Rawash,32,9,1,9,1,1,151,0.05291631,51,2,2.5,1.5,5,5,6.5
6/14/2022,21,TRUE,3,Abu Rawash,33,42,1,42,12,11,130,0.05291631,516,17.33333333,2.5,1.5,43.33333333,3.611111111,5.111111111
6/14/2022,21,TRUE,3,Abu Rawash,34,30,1,30,5,5,130,0.05291631,523,8.666666667,2.5,1.5,21.66666667,4.333333333,5.833333333
6/14/2022,21,TRUE,3,Abu Rawash,35,48,1,48,12,12,130,0.05291631,1321,14,2.5,1.5,35,2.916666667,4.416666667
6/14/2022,21,TRUE,3,Abu Rawash,36,20,1,20,4,4,130,0.05291631,118,6,2.5,1.5,15,3.75,5.25
6/14/2022,21,TRUE,3,Abu Rawash,37,13,1,13,2,2,130,0.05291631,177,4,2.5,1.5,10,5,6.5
6/14/2022,21,TRUE,3,Abu Rawash,38,15,1,15,5,5,130,0.05291631,161,8,2.5,1.5,20,4,5.5
6/14/2022,21,TRUE,3,Abu Rawash,39,47,1,47,9,9,130,0.05291631,510,14,2.5,1.5,35,3.888888889,5.388888889
6/14/2022,21,TRUE,3,Abu Rawash,40,0,1,0,2,1,130,0.05291631,3,1.333333333,2.5,1.5,3.333333333,1.666666667,3.166666667
6/14/2022,21,TRUE,3,Abu Rawash,41,146,1,146,1,1,94,0.05291631,225,1,2.5,1.5,2.5,2.5,4
6/14/2022,21,FALSE,3,Abu Rawash,42,0,1,0,0,0,162,0.05291631,0,0,2.5,1.5,0,0,1.5
6/14/2022,21,FALSE,3,Abu Rawash,43,0,1,0,0,0,142,0.05291631,0,0,2.5,1.5,0,0,1.5
6/14/2022,21,TRUE,3,Abu Rawash,44,13,1,13,3,3,173,0.05291631,376,5,2.5,1.5,12.5,4.166666667,5.666666667
6/14/2022,21,TRUE,3,Abu Rawash,45,11,1,11,2,2,186,0.05291631,7,2.666666667,2.5,1.5,6.666666667,3.333333333,4.833333333
6/14/2022,21,FALSE,3,Abu Rawash,46,0,1,0,0,0,92,0.05291631,0,0,2.5,1.5,0,0,1.5
6/14/2022,21,FALSE,3,Abu Rawash,47,0,1,0,0,0,50,0.05291631,0,0,2.5,1.5,0,0,1.5
6/14/2022,21,FALSE,3,Abu Rawash,49,0,1,0,0,0,84,0.05291631,0,0,2.5,1.5,0,0,1.5
6/14/2022,21,FALSE,3,Abu Rawash,50,0,1,0,0,0,73,0.05291631,0,0,2.5,1.5,0,0,1.5
6/14/2022,21,FALSE,3,Abu Rawash,51,0,1,0,0,0,73,0.05291631,0,0,2.5,1.5,0,0,1.5
6/14/2022,21,FALSE,3,Abu Rawash,52,0,1,0,0,0,73,0.05291631,0,0,2.5,1.5,0,0,1.5
6/14/2022,21,FALSE,3,Abu Rawash,53,0,1,0,0,0,73,0.05291631,0,0,2.5,1.5,0,0,1.5
6/14/2022,21,FALSE,3,Abu Rawash,54,0,1,0,0,0,73,0.05291631,0,0,2.5,1.5,0,0,1.5
6/14/2022,21,FALSE,3,Abu Rawash,55,0,1,0,0,0,73,0.05291631,0,0,2.5,1.5,0,0,1.5
6/14/2022,21,FALSE,3,Abu Rawash,56,0,1,0,0,0,73,0.05291631,0,0,2.5,1.5,0,0,1.5
6/14/2022,21,TRUE,3,Abu Rawash,57,1,1,1,27,27,163,0.05291631,0,33,2.5,1.5,82.5,3.055555556,4.555555556
6/14/2022,21,FALSE,3,Abu Rawash,58,0,16,0,0,0,22,0.05291631,0,0,2.5,1.5,0,0,1.5
6/14/2022,21,TRUE,3,Abu Rawash,59,1376,24,57,6,108,26,0.05291631,992,8,2.5,1.5,20,3.333333333,4.833333333
6/14/2022,21,TRUE,3,Abu Rawash,60,624,24,26,5,95,12,0.05291631,55,8,2.5,1.5,20,4,5.5
6/14/2022,21,TRUE,3,Abu Rawash,61,185,12,15,4,35,56,0.05291631,174,4,2.5,1.5,10,2.5,4
6/14/2022,21,TRUE,3,Abu Rawash,62,451,48,9,2,70,31,0.05291631,848,3,2.5,1.5,7.5,3.75,5.25
6/14/2022,21,FALSE,3,Abu Rawash,63,0,1,0,0,0,189,0.05291631,0,0,2.5,1.5,0,0,1.5
6/14/2022,21,FALSE,3,Abu Rawash,64,0,1,0,0,0,193,0.05291631,0,0,2.5,1.5,0,0,1.5
6/14/2022,21,TRUE,3,Abu Rawash,65,18,6,3,2,5,36,0.05291631,8,2,2.5,1.5,5,2.5,4
6/14/2022,21,TRUE,3,Abu Rawash,66,14,24,1,2,18,13,0.05291631,57,2,2.5,1.5,5,2.5,4
6/14/2022,21,FALSE,3,Abu Rawash,67,0,1,0,0,0,70,0.05291631,0,0,2.5,1.5,0,0,1.5
6/14/2022,21,FALSE,3,Abu Rawash,68,0,12,0,0,0,16,0.05291631,0,0,2.5,1.5,0,0,1.5
6/14/2022,21,TRUE,3,Abu Rawash,69,16,6,3,2,4,30,0.05291631,58,2,2.5,1.5,5,2.5,4
6/14/2022,21,TRUE,3,Abu Rawash,70,21,12,2,2,7,20,0.05291631,13,1.333333333,2.5,1.5,3.333333333,1.666666667,3.166666667
6/14/2022,21,TRUE,3,Abu Rawash,71,265,24,11,3,56,11,0.05291631,36,5,2.5,1.5,12.5,4.166666667,5.666666667
6/14/2022,21,FALSE,3,Abu Rawash,72,0,1,0,0,0,275,0.05291631,0,0,2.5,1.5,0,0,1.5
6/14/2022,21,FALSE,3,Abu Rawash,73,0,1,0,0,0,99,0.05291631,0,0,2.5,1.5,0,0,1.5
6/14/2022,21,TRUE,3,Abu Rawash,74,23,1,23,11,11,73,0.05291631,1,17,2.5,1.5,42.5,3.863636364,5.363636364
6/14/2022,21,TRUE,3,Abu Rawash,75,6,1,6,5,5,122,0.05291631,1,5.333333333,2.5,1.5,13.33333333,2.666666667,4.166666667
6/14/2022,21,TRUE,3,Abu Rawash,76,14,1,14,3,3,121,0.05291631,58,10,2.5,1.5,25,8.333333333,9.833333333
6/14/2022,21,FALSE,3,Abu Rawash,77,0,4,0,0,0,25,0.05291631,0,0,2.5,1.5,0,0,1.5
6/14/2022,21,FALSE,3,Abu Rawash,78,0,1,0,0,0,1,0.05291631,0,0,2.5,1.5,0,0,1.5
6/14/2022,21,FALSE,3,Abu Rawash,79,0,1,0,1,0,305,0.05291631,1,1,2.5,1.5,2.5,2.5,4
6/14/2022,21,FALSE,3,Abu Rawash,80,0,1,0,0,0,275,0.05291631,0,0,2.5,1.5,0,0,1.5
6/14/2022,21,FALSE,3,Abu Rawash,81,0,1,0,0,0,275,0.05291631,0,0,2.5,1.5,0,0,1.5
6/14/2022,21,TRUE,3,Abu Rawash,82,36,1,36,16,16,208,0.05291631,1835,24,2.5,1.5,60,3.75,5.25
6/14/2022,21,TRUE,3,Abu Rawash,83,81,1,81,22,22,234,0.05291631,1517,25,2.5,1.5,62.5,2.840909091,4.340909091
6/14/2022,21,TRUE,3,Abu Rawash,84,15,1,15,12,12,186,0.05291631,785,18,2.5,1.5,45,3.75,5.25
6/14/2022,21,TRUE,3,Abu Rawash,88,236,48,5,2,26,27,0.05291631,266,1.333333333,2.5,1.5,3.333333333,1.666666667,3.166666667
6/14/2022,21,FALSE,3,Abu Rawash,89,0,1,0,1,0,240,0.05291631,1,1,2.5,1.5,2.5,2.5,4
6/14/2022,21,FALSE,3,Abu Rawash,90,0,1,0,0,0,240,0.05291631,0,0,2.5,1.5,0,0,1.5
6/14/2022,21,FALSE,3,Abu Rawash,91,0,1,0,0,0,286,0.05291631,0,0,2.5,1.5,0,0,1.5
6/14/2022,21,FALSE,3,Abu Rawash,92,0,1,0,0,0,286,0.05291631,0,0,2.5,1.5,0,0,1.5
6/14/2022,21,TRUE,3,Abu Rawash,93,0,48,0,4,148,23,0.05291631,94,6,2.5,1.5,15,3.75,5.25
6/14/2022,21,TRUE,3,Abu Rawash,94,30,12,2,1,8,109,0.05291631,3,1,2.5,1.5,2.5,2.5,4
6/14/2022,21,FALSE,3,Abu Rawash,95,0,144,0,0,0,11,0.05291631,0,0,2.5,1.5,0,0,1.5
